order_id,product_id,quantity,discount,revenue,profit
ORD000001,PROD0090,2,0.21,74031.66,26706.84
ORD000001,PROD0117,4,0.25,86916.36,11935.68
ORD000001,PROD0304,4,0.26,31242.18,6091.9
ORD000002,PROD0456,5,0.28,106695.58,24121.28
ORD000003,PROD0485,2,0.03,55193.6,18753.3
ORD000003,PROD0338,2,0.23,31872.95,-3019.71
ORD000003,PROD0065,3,0.23,1491.15,224.07
ORD000004,PROD0186,1,0.27,3875.33,1447.74
ORD000004,PROD0052,5,0.13,69267.18,17242.88
ORD000004,PROD0011,1,0.2,24567.27,9034.69
ORD000005,PROD0192,1,0.23,24300.01,-977.96
ORD000005,PROD0214,3,0.09,60726.31,7001.44
ORD000005,PROD0445,3,0.03,15254.92,6648.19
ORD000005,PROD0330,4,0.12,114055.36,26140.56
ORD000006,PROD0167,4,0.12,3574.07,1557.87
ORD000006,PROD0277,1,0.11,24679.5,5979.23
ORD000007,PROD0497,5,0.1,62215.25,14787.05
ORD000008,PROD0431,3,0.02,114200.54,40632.62
ORD000008,PROD0166,3,0.13,46958.7,6307.65
ORD000009,PROD0189,1,0.29,30026.11,10601.8
ORD000009,PROD0058,1,0.18,26059.74,680.6
ORD000009,PROD0418,3,0.23,57909.11,11463.74
ORD000009,PROD0034,5,0.22,28485.33,333.13
ORD000010,PROD0405,2,0.3,31789.41,9296.35
ORD000010,PROD0056,3,0.15,37486.66,14796.7
ORD000010,PROD0221,4,0.11,16078.49,819.17
ORD000010,PROD0118,3,0.08,27609.88,5432.53
ORD000011,PROD0196,5,0.28,178301.2,25990.6
ORD000011,PROD0201,4,0.12,19096.92,1496.92
ORD000012,PROD0497,5,0.01,68436.77,21008.57
ORD000013,PROD0463,5,0.02,105022.24,55834.59
ORD000013,PROD0017,3,0.13,9221.29,428.71
ORD000013,PROD0464,4,0.12,48059.48,11651.48
ORD000014,PROD0021,5,0.04,30553.44,9927.64
ORD000015,PROD0040,3,0.16,45651.69,18676.56
ORD000016,PROD0465,4,0.27,92808.9,22483.26
ORD000017,PROD0047,4,0.23,117381.94,14556.74
ORD000017,PROD0042,1,0.15,14233.79,6272.53
ORD000017,PROD0102,2,0.17,13832.7,342.96
ORD000017,PROD0329,1,0.13,12531.18,3957.65
ORD000018,PROD0029,5,0.18,19262.13,6849.98
ORD000018,PROD0236,4,0.22,2820.73,-209.59
ORD000018,PROD0245,1,0.12,41831.2,3512.61
ORD000019,PROD0168,4,0.21,8172.8,3348.88
ORD000020,PROD0083,2,0.09,8713.07,1205.27
ORD000020,PROD0432,2,0.02,51669.91,18648.35
ORD000020,PROD0192,3,0.24,71953.29,-3880.62
ORD000021,PROD0122,1,0.05,43480.32,16107.7
ORD000021,PROD0157,2,0.11,2776.68,171.42
ORD000021,PROD0345,3,0.2,92505.12,31819.74
ORD000021,PROD0004,2,0.26,4716.4,-359.92
ORD000022,PROD0215,1,0.12,15611.62,6797.67
ORD000022,PROD0158,3,0.21,99180.26,7734.86
ORD000023,PROD0032,3,0.12,109528.98,35758.56
ORD000023,PROD0029,4,0.01,18604.4,8674.68
ORD000023,PROD0478,1,0.05,20057.26,7320.79
ORD000023,PROD0479,5,0.07,121319.48,60165.78
ORD000024,PROD0056,2,0.16,24697.09,9570.45
ORD000024,PROD0331,4,0.15,61193.23,388.31
ORD000024,PROD0146,3,0.23,4194.64,1661.86
ORD000025,PROD0481,2,0.25,6622.64,518.68
ORD000025,PROD0247,1,0.04,13522.41,6123.84
ORD000026,PROD0136,2,0.07,75376.96,12640.2
ORD000027,PROD0270,1,0.22,17699.79,6316.02
ORD000028,PROD0257,3,0.0,139969.83,28494.27
ORD000029,PROD0216,3,0.23,17109.45,342.09
ORD000030,PROD0465,4,0.03,123321.42,52995.78
ORD000030,PROD0210,1,0.1,30351.75,5026.59
ORD000030,PROD0384,1,0.13,33228.95,2646.62
ORD000030,PROD0360,4,0.07,24096.56,4862.16
ORD000031,PROD0326,2,0.29,6560.31,417.25
ORD000031,PROD0260,4,0.27,144153.45,43410.57
ORD000031,PROD0007,4,0.15,141686.16,52517.96
ORD000031,PROD0354,4,0.23,50268.65,-257.87
ORD000032,PROD0138,4,0.27,75084.06,8166.02
ORD000032,PROD0383,3,0.12,5191.72,1192.0
ORD000033,PROD0310,4,0.25,121104.6,112.4
ORD000033,PROD0413,2,0.05,51316.26,7133.38
ORD000034,PROD0176,5,0.05,120202.88,19916.23
ORD000034,PROD0104,3,0.29,11380.89,-86.58
ORD000034,PROD0405,3,0.15,57902.14,24162.55
ORD000035,PROD0382,5,0.13,55027.11,7743.11
ORD000036,PROD0382,3,0.21,29980.29,1609.89
ORD000037,PROD0152,5,0.18,111395.24,15626.29
ORD000037,PROD0131,1,0.26,22840.74,-3272.44
ORD000037,PROD0178,5,0.1,17132.72,3674.62
ORD000037,PROD0049,1,0.17,21812.25,5492.05
ORD000038,PROD0491,3,0.29,36022.39,-2453.84
ORD000039,PROD0325,4,0.04,151763.75,49105.55
ORD000040,PROD0436,2,0.09,34313.32,13261.62
ORD000040,PROD0037,3,0.21,1361.45,23.81
ORD000040,PROD0020,5,0.06,161239.99,53850.54
ORD000041,PROD0343,3,0.07,129707.07,35884.89
ORD000041,PROD0083,2,0.22,7468.34,-39.46
ORD000041,PROD0152,5,0.13,118187.63,22418.68
ORD000041,PROD0284,3,0.22,46319.2,9205.06
ORD000042,PROD0072,2,0.28,36019.08,7486.4
ORD000043,PROD0090,5,0.18,192107.47,73795.42
ORD000044,PROD0452,4,0.07,34660.5,9197.46
ORD000044,PROD0144,3,0.26,52037.29,5129.35
ORD000044,PROD0168,2,0.09,4707.12,2295.16
ORD000044,PROD0454,1,0.23,31513.75,7500.81
ORD000045,PROD0123,3,0.02,3140.48,508.49
ORD000045,PROD0075,4,0.11,10176.22,3756.54
ORD000046,PROD0285,5,0.29,160590.25,27299.85
ORD000047,PROD0195,3,0.02,110560.32,23383.08
ORD000047,PROD0014,1,0.26,7565.6,861.92
ORD000047,PROD0442,3,0.17,3186.23,1298.9
ORD000048,PROD0477,1,0.01,8925.79,1570.9
ORD000048,PROD0246,2,0.07,42679.82,10644.58
ORD000048,PROD0294,5,0.14,17502.76,7295.16
ORD000048,PROD0322,2,0.14,18591.43,6031.43
ORD000049,PROD0329,3,0.02,42346.76,16626.17
ORD000049,PROD0160,4,0.03,31330.69,13562.73
ORD000050,PROD0369,5,0.27,72286.5,-4618.4
ORD000050,PROD0429,3,0.22,4952.66,896.39
ORD000050,PROD0378,4,0.25,21665.46,-508.7
ORD000050,PROD0062,3,0.13,42033.45,18165.18
ORD000051,PROD0236,5,0.22,3525.91,-261.99
ORD000051,PROD0086,3,0.26,75424.39,28881.91
ORD000052,PROD0445,3,0.14,13524.98,4918.25
