product_id,product_name,category,revenue,profit,units_sold,orders,average_rating,review_count
PROD0001,Laptops Product 1,Electronics,11821460.81,215790.97,739,253,4.044776119402985,67
PROD0002,Outdoor Product 2,Sports,21929564.46,3999245.15,709,241,3.63768115942029,69
PROD0003,Travel Accessories Product 3,Accessories,4901340.7,1917577.54,723,237,3.859375,64
PROD0004,Bags Product 4,Accessories,1843413.29,102235.53,686,235,4.215189873417722,79
PROD0005,Storage Product 5,Home & Kitchen,17403371.69,2335913.0,681,223,3.824561403508772,57
PROD0006,Team Sports Product 6,Sports,794134.32,11413.300000000001,706,239,4.134328358208955,67
PROD0007,Personal Care Product 7,Beauty,22841892.67,8530396.57,642,221,3.8333333333333335,60
PROD0008,Technology Product 8,Books,6287613.96,2427302.66,790,257,4.017857142857143,56
PROD0009,Technology Product 9,Books,9923464.82,2250572.32,754,254,4.06,50
PROD0010,Cameras Product 10,Electronics,14865794.92,5000834.92,800,259,3.890909090909091,55
PROD0011,Self Help Product 11,Books,19772661.9,7983433.68,759,249,4.074074074074074,54
PROD0012,Haircare Product 12,Beauty,9963358.56,2943961.86,794,261,3.966666666666667,60
PROD0013,Sunglasses Product 13,Accessories,14309619.67,1517011.03,729,261,3.82,50
PROD0014,Non Fiction Product 14,Books,6068023.82,1355336.78,703,244,4.0,76
PROD0015,Haircare Product 15,Beauty,19289227.79,8627438.09,765,243,4.019607843137255,51
PROD0016,Storage Product 16,Home & Kitchen,17095485.65,6681447.04,659,228,4.166666666666667,60
PROD0017,Jewellery Product 17,Accessories,2270061.75,25022.989999999994,766,261,3.8181818181818183,55
PROD0018,Smartphones Product 18,Electronics,30848872.06,2614555.18,756,254,3.58,50
PROD0019,Storage Product 19,Home & Kitchen,9389101.47,4020425.79,711,245,3.9672131147540983,61
PROD0020,Yoga Product 20,Sports,22271015.65,5840429.8,765,249,4.0,55
PROD0021,Ethnic Wear Product 21,Fashion,4191486.48,990362.3200000001,776,262,4.129032258064516,62
PROD0022,Travel Accessories Product 22,Accessories,1242976.07,57695.32,725,238,4.092592592592593,54
PROD0023,Headphones Product 23,Electronics,8920381.75,1467265.75,792,260,4.1940298507462686,67
PROD0024,Skincare Product 24,Beauty,9853917.2,2226490.14,734,240,3.9607843137254903,51
PROD0025,Jewellery Product 25,Accessories,17343032.54,6663077.8,742,252,3.9857142857142858,70
PROD0026,Men Clothing Product 26,Fashion,31226019.07,3254038.0,759,256,3.746031746031746,63
PROD0027,Self Help Product 27,Books,30906421.97,1519824.65,774,251,3.6875,64
PROD0028,Ethnic Wear Product 28,Fashion,20237438.24,552630.95,801,275,3.9242424242424243,66
PROD0029,Skincare Product 29,Beauty,2967730.08,1093495.43,755,262,4.0,54
PROD0030,Accessories Product 30,Fashion,1518106.61,481986.55,701,234,3.830769230769231,65
PROD0031,Self Help Product 31,Books,13513349.53,4660077.37,808,268,4.163934426229508,61
