product_id,product_name,category,returned_orders,returned_items
PROD0194,Cookware Product 194,Home & Kitchen,39,110
PROD0478,Academic Product 478,Books,38,113
PROD0125,Jewellery Product 125,Accessories,37,103
PROD0442,Laptops Product 442,Electronics,37,108
PROD0171,Outdoor Product 171,Sports,36,108
PROD0094,Ethnic Wear Product 94,Fashion,36,106
PROD0343,Men Clothing Product 343,Fashion,36,108
PROD0498,Haircare Product 498,Beauty,36,124
PROD0220,Makeup Product 220,Beauty,35,102
PROD0105,Travel Accessories Product 105,Accessories,35,114
PROD0223,Non Fiction Product 223,Books,35,117
PROD0024,Skincare Product 24,Beauty,35,97
PROD0357,Self Help Product 357,Books,35,111
PROD0451,Storage Product 451,Home & Kitchen,35,99
PROD0163,Sportswear Product 163,Sports,34,105
PROD0218,Self Help Product 218,Books,34,104
PROD0364,Home Decor Product 364,Home & Kitchen,34,111
PROD0055,Smart Watches Product 55,Electronics,34,109
PROD0079,Cameras Product 79,Electronics,34,115
PROD0382,Men Clothing Product 382,Fashion,34,100
PROD0156,Sportswear Product 156,Sports,34,94
PROD0496,Headphones Product 496,Electronics,34,105
PROD0447,Self Help Product 447,Books,34,106
PROD0065,Accessories Product 65,Fashion,33,116
PROD0491,Skincare Product 491,Beauty,33,96
PROD0232,Men Clothing Product 232,Fashion,33,111
PROD0093,Sportswear Product 93,Sports,33,109
PROD0140,Sportswear Product 140,Sports,33,106
PROD0376,Accessories Product 376,Fashion,33,93
PROD0315,Footwear Product 315,Fashion,33,78
PROD0051,Fragrances Product 51,Beauty,33,103
PROD0361,Personal Care Product 361,Beauty,33,107
PROD0482,Headphones Product 482,Electronics,33,102
PROD0314,Home Decor Product 314,Home & Kitchen,32,105
PROD0009,Technology Product 9,Books,32,103
PROD0006,Team Sports Product 6,Sports,32,101
PROD0173,Skincare Product 173,Beauty,32,91
PROD0159,Yoga Product 159,Sports,32,97
PROD0237,Team Sports Product 237,Sports,32,100
PROD0216,Bags Product 216,Accessories,32,96
PROD0347,Smartphones Product 347,Electronics,32,92
PROD0422,Jewellery Product 422,Accessories,32,90
PROD0028,Ethnic Wear Product 28,Fashion,32,90
PROD0032,Men Clothing Product 32,Fashion,32,93
PROD0363,Furniture Product 363,Home & Kitchen,32,93
PROD0043,Self Help Product 43,Books,32,91
PROD0001,Laptops Product 1,Electronics,32,97
PROD0473,Smartphones Product 473,Electronics,32,93
PROD0020,Yoga Product 20,Sports,31,97
PROD0320,Skincare Product 320,Beauty,31,89
