product_id,product_name,category,sub_category,unit_price,cost_price
PROD0001,Laptops Product 1,Electronics,Laptops,18914.64,15704.56
PROD0002,Outdoor Product 2,Sports,Outdoor,36680.1,25289.59
PROD0003,Travel Accessories Product 3,Accessories,Travel Accessories,8054.13,4126.92
PROD0004,Bags Product 4,Accessories,Bags,3186.76,2538.16
PROD0005,Storage Product 5,Home & Kitchen,Storage,30175.42,22125.49
PROD0006,Team Sports Product 6,Sports,Team Sports,1323.05,1108.67
PROD0007,Personal Care Product 7,Beauty,Personal Care,41672.4,22292.05
PROD0008,Technology Product 8,Books,Technology,9336.7,4886.47
PROD0009,Technology Product 9,Books,Technology,15420.84,10176.25
PROD0010,Cameras Product 10,Electronics,Cameras,21767.67,12331.2
PROD0011,Self Help Product 11,Books,Self Help,30709.09,15532.58
PROD0012,Haircare Product 12,Beauty,Haircare,14819.59,8840.55
PROD0013,Sunglasses Product 13,Accessories,Sunglasses,22966.68,17548.16
PROD0014,Non Fiction Product 14,Books,Non Fiction,10223.79,6703.68
PROD0015,Haircare Product 15,Beauty,Haircare,29743.0,13936.98
PROD0016,Storage Product 16,Home & Kitchen,Storage,30494.98,15802.79
PROD0017,Jewellery Product 17,Accessories,Jewellery,3533.06,2930.86
PROD0018,Smartphones Product 18,Electronics,Smartphones,48291.91,37346.98
PROD0019,Storage Product 19,Home & Kitchen,Storage,15439.3,7550.88
PROD0020,Yoga Product 20,Sports,Yoga,34306.38,21477.89
PROD0021,Ethnic Wear Product 21,Fashion,Ethnic Wear,6365.3,4125.16
PROD0022,Travel Accessories Product 22,Accessories,Travel Accessories,2009.11,1634.87
PROD0023,Headphones Product 23,Electronics,Headphones,13161.37,9410.5
PROD0024,Skincare Product 24,Beauty,Skincare,15792.04,10391.59
PROD0025,Jewellery Product 25,Accessories,Jewellery,27471.5,14393.47
PROD0026,Men Clothing Product 26,Fashion,Men Clothing,48488.36,36853.73
PROD0027,Self Help Product 27,Books,Self Help,46993.1,37967.18
PROD0028,Ethnic Wear Product 28,Fashion,Ethnic Wear,30015.63,24575.29
PROD0029,Skincare Product 29,Beauty,Skincare,4698.08,2482.43
PROD0030,Accessories Product 30,Fashion,Accessories,2547.8,1478.06
PROD0031,Self Help Product 31,Books,Self Help,19617.26,10957.02
PROD0032,Men Clothing Product 32,Fashion,Men Clothing,41488.25,24590.14
