product_id,product_name,category,returned_orders,returned_items,average_rating,review_count
PROD0194,Cookware Product 194,Home & Kitchen,39,110,3.8983050847457625,59
PROD0478,Academic Product 478,Books,38,113,3.9857142857142858,70
PROD0125,Jewellery Product 125,Accessories,37,103,4.160714285714286,56
PROD0442,Laptops Product 442,Electronics,37,108,3.96,50
PROD0171,Outdoor Product 171,Sports,36,108,3.9558823529411766,68
PROD0094,Ethnic Wear Product 94,Fashion,36,106,3.694915254237288,59
PROD0343,Men Clothing Product 343,Fashion,36,108,4.0,53
PROD0498,Haircare Product 498,Beauty,36,124,3.9661016949152543,59
PROD0220,Makeup Product 220,Beauty,35,102,3.981818181818182,55
PROD0105,Travel Accessories Product 105,Accessories,35,114,4.157894736842105,57
PROD0223,Non Fiction Product 223,Books,35,117,3.9491525423728815,59
PROD0024,Skincare Product 24,Beauty,35,97,3.9607843137254903,51
PROD0357,Self Help Product 357,Books,35,111,3.806451612903226,62
PROD0451,Storage Product 451,Home & Kitchen,35,99,3.7142857142857144,56
PROD0163,Sportswear Product 163,Sports,34,105,4.016949152542373,59
PROD0218,Self Help Product 218,Books,34,104,3.9206349206349205,63
PROD0364,Home Decor Product 364,Home & Kitchen,34,111,4.052631578947368,57
PROD0055,Smart Watches Product 55,Electronics,34,109,3.76,50
PROD0079,Cameras Product 79,Electronics,34,115,4.117647058823529,51
PROD0382,Men Clothing Product 382,Fashion,34,100,3.903225806451613,62
PROD0156,Sportswear Product 156,Sports,34,94,3.816666666666667,60
PROD0496,Headphones Product 496,Electronics,34,105,3.7454545454545456,55
PROD0447,Self Help Product 447,Books,34,106,3.9076923076923076,65
PROD0065,Accessories Product 65,Fashion,33,116,3.9027777777777777,72
PROD0491,Skincare Product 491,Beauty,33,96,3.9384615384615387,65
PROD0232,Men Clothing Product 232,Fashion,33,111,3.9672131147540983,61
PROD0093,Sportswear Product 93,Sports,33,109,3.806451612903226,62
PROD0140,Sportswear Product 140,Sports,33,106,4.0,61
PROD0376,Accessories Product 376,Fashion,33,93,4.015384615384615,65
PROD0315,Footwear Product 315,Fashion,33,78,3.891891891891892,74
PROD0051,Fragrances Product 51,Beauty,33,103,4.061538461538461,65
PROD0361,Personal Care Product 361,Beauty,33,107,4.064516129032258,62
PROD0482,Headphones Product 482,Electronics,33,102,3.8405797101449277,69
PROD0314,Home Decor Product 314,Home & Kitchen,32,105,3.842857142857143,70
PROD0009,Technology Product 9,Books,32,103,4.06,50
PROD0006,Team Sports Product 6,Sports,32,101,4.134328358208955,67
PROD0173,Skincare Product 173,Beauty,32,91,3.6545454545454548,55
PROD0159,Yoga Product 159,Sports,32,97,3.793103448275862,58
PROD0237,Team Sports Product 237,Sports,32,100,3.7761194029850746,67
PROD0216,Bags Product 216,Accessories,32,96,3.710144927536232,69
PROD0347,Smartphones Product 347,Electronics,32,92,3.8405797101449277,69
PROD0422,Jewellery Product 422,Accessories,32,90,3.8870967741935485,62
PROD0028,Ethnic Wear Product 28,Fashion,32,90,3.9242424242424243,66
PROD0032,Men Clothing Product 32,Fashion,32,93,3.9855072463768115,69
PROD0363,Furniture Product 363,Home & Kitchen,32,93,3.8771929824561404,57
PROD0043,Self Help Product 43,Books,32,91,4.083333333333333,60
PROD0001,Laptops Product 1,Electronics,32,97,4.044776119402985,67
PROD0473,Smartphones Product 473,Electronics,32,93,4.018518518518518,54
PROD0020,Yoga Product 20,Sports,31,97,4.0,55
PROD0320,Skincare Product 320,Beauty,31,89,3.6166666666666667,60
PROD0380,Footwear Product 380,Fashion,31,96,3.807017543859649,57
PROD0419,Fitness Equipment Product 419,Sports,31,95,4.033333333333333,60
PROD0068,Footwear Product 68,Fashion,31,106,3.7777777777777777,54
PROD0410,Fitness Equipment Product 410,Sports,31,81,3.6956521739130435,69
PROD0394,Outdoor Product 394,Sports,31,91,4.15625,64
PROD0462,Self Help Product 462,Books,31,95,4.098039215686274,51
PROD0008,Technology Product 8,Books,31,85,4.017857142857143,56
PROD0158,Sportswear Product 158,Sports,31,82,4.285714285714286,63
PROD0287,Travel Accessories Product 287,Accessories,31,82,4.0,67
PROD0298,Kitchen Appliances Product 298,Home & Kitchen,31,83,4.016949152542373,59
PROD0403,Outdoor Product 403,Sports,31,108,4.0,65
PROD0433,Sunglasses Product 433,Accessories,31,91,4.12987012987013,77
PROD0468,Outdoor Product 468,Sports,31,84,3.8028169014084505,71
PROD0487,Self Help Product 487,Books,31,100,3.9692307692307693,65
PROD0282,Ethnic Wear Product 282,Fashion,31,90,4.089285714285714,56
PROD0227,Smartphones Product 227,Electronics,31,92,4.0,67
PROD0225,Yoga Product 225,Sports,31,85,4.103448275862069,58
PROD0087,Technology Product 87,Books,31,92,3.7254901960784315,51
PROD0192,Headphones Product 192,Electronics,30,90,3.9672131147540983,61
PROD0494,Kitchen Appliances Product 494,Home & Kitchen,30,90,4.059701492537314,67
PROD0146,Team Sports Product 146,Sports,30,63,4.140625,64
PROD0161,Laptops Product 161,Electronics,30,106,3.8484848484848486,66
PROD0333,Smartphones Product 333,Electronics,30,85,3.985294117647059,68
PROD0031,Self Help Product 31,Books,30,100,4.163934426229508,61
