return_id,order_id,return_date,return_reason
RET000001,ORD033554,2023-05-30,Poor Quality
RET000002,ORD009428,2023-06-25,Wrong Product
RET000003,ORD000200,2023-09-24,Late Delivery
RET000004,ORD012448,2024-11-01,Poor Quality
RET000005,ORD039490,2025-11-28,Wrong Product
RET000006,ORD042725,2025-10-02,Wrong Product
RET000007,ORD010823,2024-09-13,Late Delivery
RET000008,ORD049499,2023-06-30,Wrong Product
RET000009,ORD004145,2025-12-07,Poor Quality
RET000010,ORD036959,2024-10-04,Late Delivery
RET000011,ORD043107,2023-09-06,Size Issue
RET000012,ORD038696,2025-03-21,Wrong Product
RET000013,ORD006189,2023-08-25,Damaged Product
RET000014,ORD001415,2025-11-05,Changed Mind
RET000015,ORD018472,2023-04-01,Poor Quality
RET000016,ORD029283,2023-08-09,Late Delivery
RET000017,ORD015178,2023-08-15,Changed Mind
RET000018,ORD034305,2023-07-30,Poor Quality
RET000019,ORD012610,2023-06-13,Damaged Product
RET000020,ORD012145,2026-01-03,Changed Mind
RET000021,ORD006114,2023-06-01,Late Delivery
RET000022,ORD015909,2023-10-21,Changed Mind
RET000023,ORD000822,2023-12-12,Wrong Product
RET000024,ORD015119,2023-07-22,Damaged Product
RET000025,ORD013467,2023-01-19,Size Issue
RET000026,ORD026498,2024-06-30,Wrong Product
RET000027,ORD042112,2025-10-31,Changed Mind
RET000028,ORD030189,2025-03-04,Poor Quality
RET000029,ORD037238,2025-04-14,Wrong Product
RET000030,ORD033110,2024-06-02,Damaged Product
RET000031,ORD036481,2023-04-12,Poor Quality
RET000032,ORD024149,2023-02-15,Size Issue
RET000033,ORD005504,2023-08-26,Changed Mind
RET000034,ORD003919,2024-02-25,Size Issue
RET000035,ORD038479,2024-09-08,Poor Quality
RET000036,ORD021124,2024-02-12,Changed Mind
RET000037,ORD049718,2024-10-13,Damaged Product
RET000038,ORD042295,2023-05-06,Poor Quality
RET000039,ORD047610,2025-09-06,Damaged Product
RET000040,ORD011077,2023-07-14,Changed Mind
RET000041,ORD041515,2024-06-17,Damaged Product
RET000042,ORD022063,2023-07-08,Changed Mind
RET000043,ORD009414,2024-03-23,Poor Quality
RET000044,ORD038341,2024-03-19,Late Delivery
RET000045,ORD030264,2023-03-29,Damaged Product
RET000046,ORD041253,2023-02-12,Changed Mind
RET000047,ORD014645,2023-11-13,Wrong Product
RET000048,ORD026336,2025-02-06,Late Delivery
RET000049,ORD028103,2025-04-08,Late Delivery
RET000050,ORD017524,2025-07-18,Damaged Product
RET000051,ORD024713,2025-12-24,Changed Mind
RET000052,ORD040486,2023-12-27,Wrong Product
RET000053,ORD003851,2024-02-27,Wrong Product
RET000054,ORD040041,2025-11-11,Damaged Product
RET000055,ORD015268,2024-03-31,Late Delivery
RET000056,ORD049147,2024-10-16,Changed Mind
RET000057,ORD030002,2023-12-12,Poor Quality
