review_id,order_id,customer_id,product_id,rating
REV000001,ORD014105,CUST07129,PROD0156,4
REV000002,ORD037571,CUST01094,PROD0169,5
REV000003,ORD035910,CUST07975,PROD0326,1
REV000004,ORD031893,CUST04442,PROD0029,4
REV000005,ORD049546,CUST03733,PROD0183,5
REV000006,ORD022759,CUST07211,PROD0195,5
REV000007,ORD022654,CUST01833,PROD0396,4
REV000008,ORD010464,CUST04029,PROD0310,3
REV000009,ORD024608,CUST03199,PROD0276,5
REV000010,ORD012445,CUST00227,PROD0460,5
REV000011,ORD021404,CUST08887,PROD0076,3
REV000012,ORD013078,CUST00985,PROD0396,4
REV000013,ORD001980,CUST04967,PROD0496,2
REV000014,ORD047833,CUST05207,PROD0019,2
REV000015,ORD014867,CUST04056,PROD0308,4
REV000016,ORD028212,CUST01746,PROD0246,4
REV000017,ORD021237,CUST01176,PROD0304,5
REV000018,ORD028972,CUST08337,PROD0358,5
REV000019,ORD007499,CUST03994,PROD0331,5
REV000020,ORD004917,CUST03689,PROD0220,4
REV000021,ORD033280,CUST09162,PROD0398,3
REV000022,ORD005498,CUST06238,PROD0403,4
REV000023,ORD028340,CUST08519,PROD0360,4
REV000024,ORD013086,CUST04285,PROD0312,4
REV000025,ORD009360,CUST08965,PROD0419,3
REV000026,ORD038747,CUST01652,PROD0326,4
REV000027,ORD021910,CUST03904,PROD0358,5
REV000028,ORD047689,CUST03803,PROD0352,5
REV000029,ORD004359,CUST02852,PROD0412,1
REV000030,ORD014928,CUST08552,PROD0064,4
REV000031,ORD008342,CUST05349,PROD0366,2
REV000032,ORD041685,CUST04565,PROD0282,4
REV000033,ORD049068,CUST03893,PROD0468,5
REV000034,ORD040565,CUST08304,PROD0052,4
REV000035,ORD014677,CUST06364,PROD0070,5
REV000036,ORD040943,CUST05495,PROD0256,2
REV000037,ORD002852,CUST02888,PROD0489,3
REV000038,ORD044720,CUST02932,PROD0194,2
REV000039,ORD034870,CUST08267,PROD0373,1
REV000040,ORD046493,CUST05872,PROD0248,5
REV000041,ORD036169,CUST04790,PROD0144,2
REV000042,ORD008505,CUST00808,PROD0463,4
REV000043,ORD040293,CUST05625,PROD0315,3
REV000044,ORD011350,CUST00468,PROD0173,5
REV000045,ORD046796,CUST05442,PROD0421,4
REV000046,ORD017845,CUST00510,PROD0438,4
REV000047,ORD000715,CUST03921,PROD0477,5
REV000048,ORD036451,CUST09154,PROD0075,4
REV000049,ORD012807,CUST02244,PROD0376,2
REV000050,ORD002379,CUST03542,PROD0327,3
REV000051,ORD007099,CUST05803,PROD0037,3
REV000052,ORD027761,CUST02891,PROD0205,2
REV000053,ORD041019,CUST06886,PROD0323,3
REV000054,ORD009185,CUST02322,PROD0469,5
REV000055,ORD006797,CUST04692,PROD0052,4
REV000056,ORD041546,CUST01890,PROD0466,5
REV000057,ORD042965,CUST09374,PROD0169,3
REV000058,ORD001829,CUST07375,PROD0428,4
REV000059,ORD036443,CUST04975,PROD0400,4
REV000060,ORD014958,CUST02738,PROD0204,3
REV000061,ORD032085,CUST08142,PROD0443,4
REV000062,ORD047496,CUST03006,PROD0058,4
REV000063,ORD011344,CUST03657,PROD0096,4
REV000064,ORD006946,CUST03294,PROD0133,3
REV000065,ORD032575,CUST09103,PROD0206,5
REV000066,ORD008477,CUST09078,PROD0399,5
REV000067,ORD014662,CUST09114,PROD0173,5
REV000068,ORD015538,CUST07874,PROD0133,1
